City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,abu dhabi,24.4667,54.3667,37.01000000000005,23,0,4.63,AE,1685202477
125,ocampo,21.65,-101.5,21.340000000000032,42,29,1.78,MX,1685202478
126,qom,34.6401,50.8764,31.120000000000005,13,31,6.32,IR,1685202479
127,ahuimanu,21.4447,-157.8378,23.840000000000032,81,20,2.57,US,1685202480
128,lavrentiya,65.5833,-171.0,0.5800000000000409,98,100,0.72,RU,1685202481
129,svetlogorsk,52.6333,29.7333,16.32000000000005,58,45,5.01,BY,1685202482
130,hofn,64.2539,-15.2082,8.010000000000048,36,20,13.38,IS,1685202483
131,touros,-5.1989,-35.4608,29.939999999999998,64,70,6.97,BR,1685202485
132,kalmunai,7.4167,81.8167,28.720000000000027,78,6,1.1,LK,1685202486
133,mobaye,4.319,21.1786,22.810000000000002,94,99,2.61,CF,1685202487
134,jalu,29.0331,21.5482,25.379999999999995,41,88,9.99,LY,1685202490
135,filingue,14.3521,3.3168,42.82000000000005,5,78,5.17,NE,1685202491
136,vila franca do campo,37.7167,-25.4333,18.230000000000018,66,29,6.0,PT,1685202492
137,fare,-16.7,-151.0167,27.79000000000002,69,65,10.07,PF,1685202493
138,langarud,37.197,50.1535,25.03000000000003,81,46,1.85,IR,1685202496
139,terrace bay,48.7834,-87.1,10.120000000000005,67,17,3.01,CA,1685202497
140,juliaca,-15.5,-70.1333,11.990000000000009,40,75,1.14,PE,1685202498
141,penzance,50.1186,-5.5371,18.620000000000005,59,20,5.66,GB,1685202499
142,umm lajj,25.0213,37.2685,29.170000000000016,64,60,5.37,SA,1685202500
143,ugoofaaru,5.6667,73.0,29.680000000000007,72,4,5.59,MV,1685202502
144,cape town,-33.9258,18.4232,17.430000000000007,52,0,8.23,ZA,1685202301
145,san quintin,30.4833,-115.95,17.04000000000002,69,79,5.77,MX,1685202505
146,akyab,20.15,92.9,28.960000000000036,79,2,2.48,MM,1685202506
147,kununurra,-15.7667,128.7333,11.990000000000009,66,2,0.0,AU,1685202507
148,jesup,31.6074,-81.8854,15.960000000000036,82,100,3.09,US,1685202508
149,namibe,-15.1961,12.1522,22.33000000000004,65,7,4.48,AO,1685202509
150,rasskazovo,52.6714,41.9033,15.78000000000003,91,100,3.87,RU,1685202510
151,port elizabeth,-33.918,25.5701,19.160000000000025,45,0,5.14,ZA,1685202511
152,berlevag,70.8578,29.0864,5.890000000000043,60,100,9.77,NO,1685202512
153,inirida,3.8653,-67.9239,25.470000000000027,92,98,1.04,CO,1685202513
154,port augusta,-32.5,137.7667,12.370000000000005,70,97,3.18,AU,1685202457
